,Country,TotalCases,TotalDeaths,TotalRecovered,POPULATION,MURDER RATE/1000PEOPLE,INVOLVING IN NUMBER OF WAR,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated,VEG_PERCENTAGE,NON_VEG_PERCENTAGE
0,usa,13750608,273077,8107270,331563293,5.35,116,1.2,75.5,0.3,0.3,1.7,1.1,0.3,18.6,6%,94.00%
1,india,9432075,137177,8847600,1380004385,3.22,72,0.3,2.4,0.3,78.9,0.3,15.4,2.1,0.3,31%,69.00%
2,brazil,6314740,172848,5578118,212958012,29.53,45,0.3,88.1,3.2,0.3,0.3,0.3,0.3,8.4,14%,86.00%
3,russia,2295654,39895,1778704,145934462,10.82,91,0.3,72.9,0.3,0.3,0.3,11.4,0.3,15.2,5.00%,95.00%
4,france,2218483,52325,161427,65315016,1.35,62,0.3,58.1,0.3,0.3,0.3,8.3,0.3,31.9,5.00%,95.00%
5,spain,1646192,44668,150376,46754778,0.63,53,0.3,75.2,0.3,0.3,0.3,3.3,0.3,21,1.50%,98.50%
6,uk,1617327,58245,3602,67886011,1.2,133,0.3,59.1,0.3,1.6,0.3,6.1,0.3,31.2,9%,91.00%
7,italy,1585178,54904,734503,60493260,0.67,36,0.3,80.8,0.3,0.3,0.3,4.9,0.3,13.4,10%,90.00%
8,argentina,1418807,38473,1249843,45195774,5.54,29,0.3,85.4,0.3,0.3,0.3,0.3,0.3,12.1,7.50%,92.50%
9,colombia,1308376,36584,1204452,51026600,25.5,17,0.3,92.3,0.3,0.3,0.3,0.3,0.3,6.7,8.00%,92.00%
10,mexico,1107071,105655,818397,129326655,19.26,43,0.3,94.1,0.3,0.3,0.3,0.3,0.3,5.7,19.00%,81.00%
11,germany,1055607,16533,722300,83846303,1.18,29,0.3,66,0.3,0.3,0.3,6.9,0.3,26.3,4.30%,95.70%
12,poland,990811,17150,577514,37846611,8.08304347826087,47.3913043478261,0.3,92.5,0.3,0.3,0.3,0.3,0.3,7.3,8.00%,92.00%
13,peru,962530,35923,893061,32971854,7.67,16,0.3,95.4,0.3,0.3,0.3,0.3,0.3,3.1,8.00%,92.00%
14,iran,962070,48246,668151,84282671,2.47,19,0.3,0.3,0.3,0.3,0.3,99,0.3,0.3,8.00%,92.00%
15,south africa,787702,21477,730633,59493927,33.97,16,0.3,80.8,0.3,1,0.3,1.9,0.3,15.3,8.00%,92.00%
16,ukraine,732625,12327,345149,59308690,8.08304347826087,47.3913043478261,0.3,85.6,0.3,0.3,0.3,1.7,0.3,12.5,5.20%,94.80%
17,turkey,607628,13558,400242,84603067,4.31,21,0.3,0.3,0.3,0.3,0.3,98,0.3,1.2,8.00%,92.00%
18,belgium,576599,16547,37383,11612007,8.08304347826087,47.3913043478261,0.3,60.5,0.3,0.3,0.3,7.5,0.3,31,7.00%,93.00%
19,iraq,550435,12224,480903,41503000,9.85,22,0.3,0.3,0.3,0.3,0.3,99,0.3,0.3,8.00%,92.00%
20,chile,550430,15356,525212,19116201,3.46,17,0.3,88.3,1.5,0.3,0.3,0.3,0.3,9.7,6%,94%
21,indonesia,538883,16945,450518,274364777,0.5,58,0.3,10.2,0.3,1.6,0.3,87,0.3,0.3,,
22,czechia,519723,8138,444406,,8.08304347826087,47.3913043478261,,,,,,,,,,
23,netherlands,518910,9349,0,,8.08304347826087,47.3913043478261,0.3,47.3,0.3,0.3,0.3,6.9,0.3,44.3,,
24,romania,471536,11193,348852,,8.08304347826087,47.3913043478261,0.3,99,0.3,0.3,0.3,0.3,0.3,0.3,,
25,bangladesh,462407,6609,378172,164689383,2.5,11,0.3,0.3,0.3,8.2,0.3,90.8,0.3,0.3,,
26,philippines,431630,8392,398658,,8.08304347826087,47.3913043478261,0.3,92.4,1.6,0.3,0.3,5.7,0.3,0.3,,
27,pakistan,398024,8025,341423,221988411,4.41,14,0.3,1.6,0.3,1.9,0.3,96.5,0.3,0.3,,
28,canada,370278,12032,294411,,8.08304347826087,47.3913043478261,1,66.4,1.2,1.7,1.1,2.8,1.2,24.5,,
29,saudi arabia,357128,5884,346409,,8.08304347826087,47.3913043478261,0.3,4.4,0.3,1.3,0.3,92.7,0.3,0.3,,
30,morocco,353803,5789,302314,,8.08304347826087,47.3913043478261,0.3,0.3,0.3,0.3,0.3,99,0.3,0.3,,
31,israel,336160,2864,323224,,8.08304347826087,47.3913043478261,0.3,2,0.3,0.3,74,20.1,0.3,3.2,,
32,switzerland,327072,4705,250200,,8.08304347826087,47.3913043478261,0.3,70,0.3,0.3,0.3,5.6,0.3,22.8,,
33,portugal,294799,4427,209534,,8.08304347826087,47.3913043478261,0.3,90.5,0.3,0.3,0.3,0.3,0.3,8.6,,
34,austria,282456,3184,221692,,8.08304347826087,47.3913043478261,0.3,78.4,0.3,0.3,0.3,6.2,0.3,14.5,,
35,sweden,243129,6681,0,,8.08304347826087,47.3913043478261,0.3,63,0.3,0.3,0.3,6.5,0.3,29,,
36,nepal,233452,1508,214521,,8.08304347826087,47.3913043478261,10,0.3,3.6,80.6,0.3,5,0.3,0.3,,
37,hungary,217122,4823,63860,,8.08304347826087,47.3913043478261,0.3,79.3,0.3,0.3,0.3,0.3,0.3,20.3,,
38,jordan,214307,2694,148572,,8.08304347826087,47.3913043478261,0.3,2.1,0.3,0.3,0.3,97.1,0.3,0.3,,
39,ecuador,192117,13423,169804,,8.08304347826087,47.3913043478261,0.3,94,0.3,0.3,0.3,0.3,0.3,5.6,,
40,serbia,169214,1549,31536,,8.08304347826087,47.3913043478261,0.3,91.6,0.3,0.3,0.3,5,0.3,3.3,,
41,uae,168860,572,154899,,8.08304347826087,47.3913043478261,2.4,12.9,0.3,7.7,0.3,75,0.3,1.1,,
42,panama,164729,3060,143616,,8.08304347826087,47.3913043478261,0.3,92.7,0.3,0.3,0.3,0.3,0.3,5,,
43,japan,144653,2106,121891,,8.08304347826087,47.3913043478261,33.2,1.8,0.3,0.3,0.3,0.3,4.5,60,,
44,bolivia,144622,8952,121472,,8.08304347826087,47.3913043478261,0.3,94,0.3,0.3,0.3,0.3,0.3,4.1,,
45,dominican republic,143473,2330,114818,,8.08304347826087,47.3913043478261,0.3,88,0.3,0.3,0.3,0.3,0.3,10.9,,
46,bulgaria,142486,3814,48594,,8.08304347826087,47.3913043478261,0.3,81,0.3,0.3,0.3,14.2,0.3,4.7,,
47,kuwait,142426,878,136413,,8.08304347826087,47.3913043478261,5.4,13.6,0.3,9.9,0.3,70.7,0.3,0.3,,
48,qatar,138648,237,135862,,8.08304347826087,47.3913043478261,3.8,13.7,0.3,15.9,0.3,65.2,0.3,0.3,,
49,costa rica,137093,1690,84991,,8.08304347826087,47.3913043478261,,,,,,,,,,
50,georgia,135584,1267,113986,,8.08304347826087,47.3913043478261,0.3,87.6,0.3,0.3,0.3,11.6,0.3,0.3,,
51,armenia,135124,2164,108442,,8.08304347826087,47.3913043478261,0.3,98.3,0.3,0.3,0.3,0.3,0.3,1.3,,
52,belarus,135008,1151,113375,,8.08304347826087,47.3913043478261,0.3,70.7,0.3,0.3,0.3,0.3,0.3,28.6,,
53,kazakhstan,131659,1990,116461,,8.08304347826087,47.3913043478261,0.3,23.1,0.3,0.3,0.3,72,0.3,4,,
54,lebanon,126944,1004,76774,,8.08304347826087,47.3913043478261,0.3,38.4,0.3,0.3,0.3,61.2,0.3,0.3,,
55,croatia,126612,1712,101838,,8.08304347826087,47.3913043478261,0.3,93.3,0.3,0.3,0.3,1.6,0.3,5.1,,
56,oman,123484,1418,114963,,8.08304347826087,47.3913043478261,0.3,6.4,0.3,5.7,0.3,85.9,0.3,0.3,,
57,guatemala,121971,4166,110588,,8.08304347826087,47.3913043478261,0.3,95.3,0.3,0.3,0.3,0.3,0.3,3.9,,
58,azerbaijan,118195,1361,73676,,8.08304347826087,47.3913043478261,0.3,2.6,0.3,0.3,0.3,97.3,0.3,0.3,,
59,egypt,115541,6636,102596,,8.08304347826087,47.3913043478261,0.3,4.7,0.3,0.3,0.3,95.3,0.3,0.3,,
60,ethiopia,109534,1700,69315,,8.08304347826087,47.3913043478261,0.3,61.9,2.1,0.3,0.3,35.9,0.3,0.3,,
61,honduras,107888,2909,47680,,8.08304347826087,47.3913043478261,0.3,87.5,1.1,0.3,0.3,0.3,0.3,10.5,,
62,moldova,107017,2290,94586,,8.08304347826087,47.3913043478261,0.3,97.4,0.3,0.3,0.3,0.3,0.3,1.3,,
63,slovakia,105929,839,66041,,8.08304347826087,47.3913043478261,0.3,83.6,0.3,0.3,0.3,0.3,0.3,15.8,,
64,greece,104227,2321,9989,,8.08304347826087,47.3913043478261,0.3,87.6,0.3,0.3,0.3,5.9,0.3,6.1,,
65,venezuela,102040,894,96652,,8.08304347826087,47.3913043478261,0.3,89.5,0.3,0.3,0.3,0.3,0.3,9.7,,
66,tunisia,96251,3219,69624,,8.08304347826087,47.3913043478261,0.3,0.3,0.3,0.3,0.3,99,0.3,0.3,,
67,myanmar,89486,1918,68910,,8.08304347826087,47.3913043478261,79.8,7.8,5.8,1.7,0.3,4.2,0.3,0.3,,
68,bosnia and herzegovina,87374,2620,51479,,8.08304347826087,47.3913043478261,0.3,51.1,0.3,0.3,0.3,46.5,0.3,2.4,,
69,bahrain,86787,341,84977,,8.08304347826087,47.3913043478261,3.1,14.1,0.3,10.2,0.3,69.7,0.3,2,,
70,palestine,83585,717,63834,,8.08304347826087,47.3913043478261,0.3,2,0.3,0.3,0.3,97.9,0.3,0.3,,
71,kenya,83316,1452,54975,,8.08304347826087,47.3913043478261,0.3,84.5,1.5,0.3,0.3,10.5,1.1,2.3,,
72,libya,82809,1183,53818,,8.08304347826087,47.3913043478261,0.3,2.7,0.3,0.3,0.3,96.6,0.3,0.3,,
73,algeria,82221,2410,53204,,8.08304347826087,47.3913043478261,0.3,0.3,0.3,0.3,0.3,97.9,0.3,1.8,,
74,paraguay,81906,1743,57947,,8.08304347826087,47.3913043478261,0.3,96.9,1.7,0.3,0.3,0.3,0.3,1.1,,
75,denmark,79352,829,62514,,8.08304347826087,47.3913043478261,0.3,81.9,0.3,0.3,0.3,5.1,0.3,12,,
76,slovenia,75806,1435,54138,,8.08304347826087,47.3913043478261,0.3,77.2,0.3,0.3,0.3,3.9,0.3,18.8,,
77,uzbekistan,72920,608,70198,,8.08304347826087,47.3913043478261,0.3,2,0.3,0.3,0.3,97.1,0.3,0.3,,
78,kyrgyzstan,72807,1271,64149,,8.08304347826087,47.3913043478261,0.3,10,0.3,0.3,0.3,89.4,0.3,0.3,,
79,ireland,72241,2052,23364,,8.08304347826087,47.3913043478261,0.3,89.7,0.3,0.3,0.3,1.5,0.3,7.9,,
80,nigeria,67412,1173,63055,,8.08304347826087,47.3913043478261,0.3,46.9,1.5,0.3,0.3,51.1,0.3,0.3,,
81,malaysia,65697,360,54759,,8.08304347826087,47.3913043478261,15.7,9.4,2.2,5.8,0.3,66.1,0.3,0.3,,
82,north macedonia,61543,1731,38400,,8.08304347826087,47.3913043478261,,,,,,,,,,
83,lithuania,61325,506,14211,,8.08304347826087,47.3913043478261,0.3,89.9,0.3,0.3,0.3,0.3,0.3,9.8,,
84,singapore,58218,29,58124,,8.08304347826087,47.3913043478261,32.2,17.7,2.4,6.5,0.3,16.1,8.5,16.5,,
85,ghana,51569,323,50450,,8.08304347826087,47.3913043478261,0.3,73.6,4.9,0.3,0.3,17.5,0.3,3.8,,
86,afghanistan,46498,1774,36788,,8.08304347826087,47.3913043478261,0.3,0.3,0.3,0.3,0.3,99,0.3,0.3,,
87,el salvador,38405,1114,35078,,8.08304347826087,47.3913043478261,0.3,88,0.3,0.3,0.3,0.3,0.3,11.2,,
88,albania,37625,798,18481,,8.08304347826087,47.3913043478261,0.3,16.7,0.3,0.3,0.3,82.1,0.3,0.3,,
89,norway,35828,328,20956,,8.08304347826087,47.3913043478261,0.3,81.7,0.3,0.3,0.3,4.9,0.3,11.6,,
90,montenegro,34881,487,23484,,8.08304347826087,47.3913043478261,0.3,76.6,0.3,0.3,0.3,20.3,0.3,3.1,,
91,luxembourg,34539,312,24073,,8.08304347826087,47.3913043478261,0.3,70.6,0.3,0.3,0.3,2.3,0.3,26.7,,
92,s. korea,34201,526,27653,,8.08304347826087,47.3913043478261,,,,,,,,,,
93,australia,27902,908,25595,,8.08304347826087,47.3913043478261,2.9,61.7,0.3,1.7,0.3,3,0.3,28.6,,
94,finland,24912,393,16800,,8.08304347826087,47.3913043478261,0.3,77.7,0.3,0.3,0.3,1.3,0.3,20.8,,
95,cameroon,24117,437,22177,,8.08304347826087,47.3913043478261,0.3,69.6,3.2,0.3,0.3,19.3,2.7,5.2,,
96,sri lanka,23484,116,17002,,8.08304347826087,47.3913043478261,68.6,7.2,0.3,13.7,0.3,10.4,0.3,0.3,,
97,ivory coast,21310,131,20947,,8.08304347826087,47.3913043478261,,,,,,,,,,
98,uganda,20145,201,8989,,8.08304347826087,47.3913043478261,0.3,86.1,0.3,0.3,0.3,12.1,0.3,0.3,,
99,zambia,17608,357,16983,,8.08304347826087,47.3913043478261,0.3,97.4,0.3,0.3,0.3,0.3,0.3,0.3,,
100,sudan,17404,1235,10175,,8.08304347826087,47.3913043478261,0.3,5.4,2.8,0.3,0.3,90.7,0.3,1,,
101,madagascar,17341,251,16657,,8.08304347826087,47.3913043478261,0.3,84.7,4.7,0.3,0.3,3.1,0.3,7.3,,
102,latvia,17075,206,1795,,8.08304347826087,47.3913043478261,0.3,54.3,0.3,0.3,0.3,0.3,0.3,45.3,,
103,senegal,16075,333,15597,,8.08304347826087,47.3913043478261,0.3,3.3,0.3,0.3,0.3,96.6,0.3,0.3,,
